employee_id,exit_date,reason,notes
EMP015,2024-01-26,resignation,
EMP034,2024-02-10,resignation,
EMP057,2024-04-15,resignation,
EMP072,2024-06-15,other,
EMP002,2024-06-30,dismissal,
EMP021,2024-08-03,retirement,
EMP055,2024-08-30,other,
EMP095,2024-09-12,retirement,
EMP082,2024-11-11,resignation,
EMP010,2024-12-06,other,
EMP043,2025-01-13,end_of_contract,
EMP091,2025-02-20,end_of_contract,
EMP089,2025-02-25,other,
EMP017,2025-03-16,resignation,
EMP001,2025-07-12,resignation,
EMP099,2025-07-19,resignation,
EMP071,2025-07-27,other,
EMP020,2025-11-16,other,
